"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006119","oxidative phosphorylation","12/12","149/18866",3.75038411171748e-26,4.80049166299837e-24,1.26328727973641e-24,"ND6/ND4L/ND1/ATP6/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",12
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","11/12","97/18866",4.41561172192258e-25,2.12209690749949e-23,5.58446554605128e-24,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0042773","ATP synthesis coupled electron transport","11/12","98/18866",4.97366462695192e-25,2.12209690749949e-23,5.58446554605128e-24,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0022904","respiratory electron transport chain","11/12","116/18866",3.48625791781436e-24,1.11560253370059e-22,2.93579614131735e-23,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0046034","ATP metabolic process","12/12","311/18866",3.25959385282548e-22,8.34456026323324e-21,2.19593691137717e-21,"ND6/ND4L/ND1/ATP6/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",12
"BP","GO:0022900","electron transport chain","11/12","184/18866",6.68249948493116e-22,1.42559989011865e-20,3.75157865820697e-21,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0045333","cellular respiration","11/12","187/18866",8.02234554906535e-22,1.46694318611481e-20,3.86037680556528e-21,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0015980","energy derivation by oxidation of organic compounds","11/12","278/18866",6.91454650296823e-20,1.10632744047492e-18,2.91138800124978e-19,"ND6/ND4L/ND1/ND2/CYTB/COX3/ND4/COX1/COX2/ND3/ND5",11
"BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","7/12","55/18866",9.42714695887252e-16,1.34074978970631e-14,3.52828892027977e-15,"ND6/ND4L/ND1/ND2/ND4/ND3/ND5",7
"BP","GO:0010257","NADH dehydrogenase complex assembly","6/12","65/18866",1.20018620121826e-12,1.39658030687216e-11,3.6752113338741e-12,"ND6/ND1/ND2/ND4/ND3/ND5",6
"BP","GO:0032981","mitochondrial respiratory chain complex I assembly","6/12","65/18866",1.20018620121826e-12,1.39658030687216e-11,3.6752113338741e-12,"ND6/ND1/ND2/ND4/ND3/ND5",6
"BP","GO:1902600","proton transmembrane transport","7/12","159/18866",2.02165004574748e-12,2.15642671546398e-11,5.67480714595784e-12,"ATP6/CYTB/COX3/ND4/COX1/COX2/ND5",7
"BP","GO:0033108","mitochondrial respiratory chain complex assembly","6/12","102/18866",1.93686963069294e-11,1.90707163637459e-10,5.01860956940681e-11,"ND6/ND1/ND2/ND4/ND3/ND5",6
"BP","GO:0009060","aerobic respiration","5/12","87/18866",1.43323719372374e-09,1.31038829140456e-08,3.44839024053832e-09,"ND1/COX3/ND4/COX1/COX2",5
"BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/12","21/18866",2.59810580973176e-07,2.07848464778541e-06,5.46969644154055e-07,"COX3/COX1/COX2",3
"BP","GO:0019646","aerobic electron transport chain","3/12","21/18866",2.59810580973176e-07,2.07848464778541e-06,5.46969644154055e-07,"COX3/COX1/COX2",3
"BP","GO:0006979","response to oxidative stress","5/12","458/18866",5.67554455082954e-06,4.27335119121283e-05,1.12456610295074e-05,"ND6/ND1/COX1/ND3/ND5",5
"BP","GO:0070482","response to oxygen levels","4/12","396/18866",8.28116914970594e-05,0.000573106818771842,0.000150817583887327,"ATP6/CYTB/ND4/ND5",4
"BP","GO:0055093","response to hyperoxia","2/12","22/18866",8.50705434114454e-05,0.000573106818771842,0.000150817583887327,"ATP6/CYTB",2
"BP","GO:0036296","response to increased oxygen levels","2/12","29/18866",0.000149148470557156,0.000954550211565798,0.000251197424096263,"ATP6/CYTB",2
"BP","GO:0046688","response to copper ion","2/12","43/18866",0.000330089502824697,0.00201197411245529,0.000529466871698761,"CYTB/COX1",2
